Qty	Value	Device	Package	Parts	Description	CAPACITANCE	FORCE	HEIGHT	MOUNT	REMARK	TEMP	VOLTAGE
11	0	R1005	1005	"R112, R304, R308, R310, R311, R315, R317, R320, R322, R327, R330"				0.35				
4	0 (DNP)	R1005	1005	"R307, R309, R314, R319"				0.35				
6	1	R1005	1005	"R303, R312, R318, R323, R326, R331"				0.35				
3	100k	3216_ARRAY	3216_ARRAY	"R103, R119, R120"				0.5				
10	100k	R1005	1005	"R104, R111, R130, R131, R136, R139, R305, R328, R404, R502"				0.35				
1	100k (DNP)	R1005	1005	R140				0.35				
1	1050270001	1050270001	MOLEX_105027	J104				1.7				
24	10V 0.1u	1005	1005	"C101, C102, C103, C104, C105, C107, C108, C109, C110, C111, C114, C115, C116, C201, C204, C306, C312, C318, C401, C403, C404, C406, C407, C408"				0.5				
2	10V 10p	1005	1005	"C112, C113"				0.5				
8	10V 1u	1005	1005	"C106, C117, C118, C120, C305, C308, C402, C405"				0.5				
2	10k	3216_ARRAY	3216_ARRAY	"R102, R125"				0.5				
4	10k	R1005	1005	"R101, R105, R106, R110"				0.35				
2	16V 0.1u	1005	1005	"C202, C205"				0.5				
10	16V 1u	1005	1005	"C119, C301, C303, C307, C309, C310, C313, C314, C316, C319"				0.5				
2	1SS352	1SS352	2012	"D101, D102"	switching diode			0.9				
9	2.2	R1005	1005	"R301, R302, R306, R313, R316, R321, R324, R325, R329"				0.35				
2	20021321-00010C4LF	20021321-00010C4LF	MA5-2_SMD_1.27MM_MIN	"J301, J302"				4.5				
2	20k	R1005	1005	"R107, R201"				0.35				
4	20k (DNP)	R1005	1005	"R108, R109, R113, R114"				0.35				
3	22	3216_ARRAY	3216_ARRAY	"R124, R128, R132"				0.5				
13	22	R1005	1005	"R115, R116, R121, R122, R126, R127, R129, R133, R134, R135, R137, R138, R501"				0.35				
3	22 (DNP)	R1005	1005	"R117, R118, R123"				0.35				
2	3k	R1005	1005	"R402, R405"				0.35				
3	4.7k	R1005	1005	"R202, R203, R204"				0.35				
1	503480_0400	503480_0400	400	J105				1				
1	503480_0600	503480_0600	600	J106								
1	503480_1400	503480_1400	1400	J101								
3	50V 0.01u	1005	1005	"C304, C311, C317"				0.5				
2	51	R1608	1608	"R401, R403"				0.45				
1	52559-0652	52559-0652	652	J401								
3	6.3V 0.1u	1005	1005	"C502, C503, C504"				0.5				
1	6.3V 1u	1005	1005	C501				0.5				
3	74LVC2G08DC	74LVC2G08DC	VSSOP8	"U301, U303, U305"								
4	APHHS1005QBC/D	LED1005	1005	"LED101, LED102, LED103, LED104"				0.5				
2	APHHS1005SYCK	LED1005	1005	"LED201, LED203"				0.5				
1	APHHS1005ZGC	LED1005	1005	LED202				0.5				
1	AYZ0102AGRLC	AYZ0102AGRLC	AYZ0102AGRLC	SW201				1.5				
2	BASE_HOLE	BASE_HOLE	BASE_HOLE	"S1, S2"				0.1				
1	BM02B-SRSS-TB(LF)(SN)	BM02B-SRSS-TB(LF)(SN)	BM02B-SRSS-TB	J303				6.3				
1	BM04B-SRSS-TB(LF)(SN)	BM04B-SRSS-TB(LF)(SN)	BM04B-SRSS-TB	J102				6.3	top			
1	DF13-4P-1.25DSA	DF13-4P-1.25DSA	DF13_4P_TH	J103								
1	DF58-2P-1.2V(21)	DF58-2P-1.2V(21)	DF58_2P	J201								
4	EEF-CS1C330R	EEF-CS1C330R	EEFC_7343	"C203, C206, C302, C315"		33uF		1.2				16V
2	GP2S700HCP	GP2S700HCP	GP2S700	"PI401, PI402"				2				
1	GUIDE_HOLE_1	GUIDE_HOLE_1	GUIDE_HOLE	S3				0.1				
1	GUIDE_HOLE_2	GUIDE_HOLE_2	GUIDE_HOLE	S4				0.1				
1	ICM-20602	ICM-20602	LGA16_3X3MM	U501				0.8				
4	MCP1416T-E/OT	MCP1416T-E/OT	SOT23-5	"U101, U401, U403, U404"				1.45				
4	MCP6001T-I/LT	MCP6001T-I/LT	SOT-70-5	"U102, U103, U402, U405"				1.1			-40 ~ 85 degC	
1	MR20H40CDF	MR20H40CDF	8DFN	U105				0.8				
1	NX3225SA-12.000M-STD-CSR-1	NX3225SA-12.000M-STD-CSR-1	3225	X101				0.7				
1	R5F564MLDDFP#V1-ND	R5F564MLDDFP#V1-ND	TQFP100-16X16	U104				2.1				
1	RECOG_MARK_1	RECOG_MARK_1	RECOG_MARK	S5				0.1				
1	RECOG_MARK_2	RECOG_MARK_2	RECOG_MARK	S6				0.1				
1	RECOG_MARK_3	RECOG_MARK_3	RECOG_MARK	S7				0.1				
3	RT9625AZQW	RT9625AZQW	WQFN16	"U302, U304, U306"				0.8				
1	SISA01DN-T1-GE3	SISA01DN-T1-GE3	POWERPAK1212-8	Q201								
6	SIZ322DT-T1-GE3	SIZ322DT-T1-GE3	DFN3X3A	"Q301, Q302, Q303, Q304, Q305, Q306"								
1	SKQYACE010	SKQYACE010	SKQYA	SW102			0.98N	2.5				
1	SKRHABE010	SKRHABE010	SKRH	SW101				5				
1	SMT-0540-T-7-R	SMT-0540-T-7-R	SMT-0540-S-R	B101				2.1		top hole		
1	SV01A103AEA01	SV01A103AEA01	SV01	VR101				2.1				
1	TLV1117-33CDRJR	TLV1117-33CDRJR	WFDFN8	U202				0.75				
1	TLV1117-50CDRJR	TLV1117-50CDRJR	WFDFN8	U201				0.75				
